SID,LAT,LON,Time
1979259N11078,11.6000,73.6000,306417600.0
1979259N11078,11.6626,73.4142,306428400.0
1979259N11078,11.7115,73.3132,306439200.0
1979259N11078,11.7913,73.2638,306450000.0
1979259N11078,11.9000,73.2000,306460800.0
1979259N11078,12.0374,73.0229,306471600.0
1979259N11078,12.2042,72.8192,306482400.0
1979259N11078,12.3955,72.6476,306493200.0
1979259N11078,12.6000,72.5000,306504000.0
1979259N11078,12.7976,72.3868,306514800.0
1979259N11078,12.9975,72.2783,306525600.0
1979259N11078,13.1986,72.1389,306536400.0
1979259N11078,13.4000,72.0000,306547200.0
1979259N11078,13.6027,71.8916,306558000.0
1979259N11078,13.8050,71.7833,306568800.0
1979259N11078,14.0098,71.6417,306579600.0
1979259N11078,14.2000,71.5000,306590400.0
1979259N11078,14.3476,71.3915,306601200.0
1979259N11078,14.4825,71.2832,306612000.0
1979259N11078,14.6112,71.1415,306622800.0
1979259N11078,14.8000,71.0000,306633600.0
1979259N11078,15.1239,70.8904,306644400.0
1979259N11078,15.5167,70.7810,306655200.0
1979259N11078,15.9377,70.6394,306666000.0
1979259N11078,16.3000,70.5000,306676800.0
1979259N11078,16.4884,70.4018,306687600.0
1979259N11078,16.6074,70.3147,306698400.0
1979259N11078,16.7327,70.2301,306709200.0
1979259N11078,16.9000,70.1000,306720000.0
1979259N11078,17.1801,69.8840,306730800.0
1979259N11078,17.5025,69.6111,306741600.0
1979259N11078,17.8236,69.3209,306752400.0
1979259N11078,18.1000,69.0000,306763200.0
1979259N11078,18.2756,68.6690,306774000.0
1979259N11078,18.3956,68.3080,306784800.0
1979259N11078,18.4911,67.9260,306795600.0
1979259N11078,18.6000,67.5000,306806400.0
1979259N11078,18.7887,67.0186,306817200.0
1979259N11078,18.9909,66.4936,306828000.0
1979259N11078,19.1660,65.9452,306838800.0
1979259N11078,19.3000,65.4000,306849600.0
1979259N11078,19.3729,64.8986,306860400.0
1979259N11078,19.4146,64.4214,306871200.0
1979259N11078,19.4586,63.9750,306882000.0
1979259N11078,19.5000,63.5000,306892800.0
1979259N11078,19.5507,62.9144,306903600.0
1979259N11078,19.5887,62.3017,306914400.0
1979259N11078,19.6007,61.7098,306925200.0
1979259N11078,19.6000,61.2000,306936000.0
1979259N11078,19.6032,60.8477,306946800.0
1979259N11078,19.6046,60.5583,306957600.0
1979259N11078,19.6035,60.2281,306968400.0
1979259N11078,19.6000,59.9000,306979200.0
1979259N11078,19.5921,59.5956,306990000.0
1979259N11078,19.5732,59.2906,307000800.0
1979259N11078,19.5259,58.9536,307011600.0
1979259N11078,19.5000,58.6000,307022400.0
1979259N11078,19.5314,58.2522,307033200.0
1979259N11078,19.6162,57.8770,307044000.0
1979259N11078,19.7462,57.4534,307054800.0
1979259N11078,19.9000,57.0000,307065600.0
1979264N10087,10.2000,86.5000,306720000.0
1979264N10087,11.0169,86.0847,306730800.0
1979264N10087,11.7562,85.6894,306741600.0
1979264N10087,12.3540,85.3429,306752400.0
1979264N10087,12.8000,85.1000,306763200.0
1979264N10087,13.1090,85.0082,306774000.0
1979264N10087,13.3323,84.9802,306784800.0
1979264N10087,13.5543,84.9252,306795600.0
1979264N10087,13.8000,84.8000,306806400.0
1979264N10087,14.1404,84.5436,306817200.0
1979264N10087,14.4959,84.2136,306828000.0
1979264N10087,14.8218,83.8652,306838800.0
1979264N10087,15.1000,83.5000,306849600.0
1979264N10087,15.3255,83.1451,306860400.0
1979264N10087,15.4793,82.7815,306871200.0
1979264N10087,15.5601,82.3972,306882000.0
1979264N10087,15.6000,82.0000,306892800.0
1979300N06095,5.90000,94.5000,309830400.0
1979300N06095,6.24700,94.5005,309841200.0
1979300N06095,6.60920,94.4842,309852000.0
1979300N06095,6.99680,94.4425,309862800.0
1979300N06095,7.40000,94.4000,309873600.0
1979300N06095,7.80432,94.4036,309884400.0
1979300N06095,8.20992,94.3682,309895200.0
1979300N06095,8.62053,94.2320,309906000.0
1979300N06095,9.00000,94.0000,309916800.0
1979300N06095,9.32140,93.6880,309927600.0
1979300N06095,9.60090,93.3109,309938400.0
1979300N06095,9.86327,92.9066,309949200.0
1979300N06095,10.1000,92.5000,309960000.0
1979300N06095,10.3131,92.1361,309970800.0
1979300N06095,10.5217,91.7733,309981600.0
1979300N06095,10.7611,91.3771,309992400.0
1979300N06095,11.0000,91.0000,310003200.0
1979300N06095,11.2163,90.6823,310014000.0
1979300N06095,11.4316,90.4042,310024800.0
1979300N06095,11.6826,90.1455,310035600.0
1979300N06095,11.9000,89.9000,310046400.0
1979300N06095,12.0205,89.6609,310057200.0
1979300N06095,12.0881,89.4222,310068000.0
1979300N06095,12.1349,89.1923,310078800.0
1979300N06095,12.2000,88.9000,310089600.0
1979300N06095,12.3352,88.4846,310100400.0
1979300N06095,12.5093,87.9868,310111200.0
1979300N06095,12.7005,87.4422,310122000.0
1979300N06095,12.9000,86.9000,310132800.0
1979300N06095,13.1103,86.4394,310143600.0
1979300N06095,13.2964,86.0027,310154400.0
1979300N06095,13.4408,85.5597,310165200.0
1979300N06095,13.5000,85.1000,310176000.0
1979300N06095,13.4429,84.6072,310186800.0
1979300N06095,13.3108,84.0880,310197600.0
1979300N06095,13.1565,83.5431,310208400.0
1979300N06095,13.0000,83.0000,310219200.0
1979300N06095,12.8848,82.4805,310230000.0
1979300N06095,12.7709,81.9749,310240800.0
1979300N06095,12.6248,81.4620,310251600.0
1979300N06095,12.5000,81.0000,310262400.0
1979300N06095,12.4320,80.6196,310273200.0
1979300N06095,12.4166,80.3209,310284000.0
1979300N06095,12.4462,80.0919,310294800.0
1979300N06095,12.5000,79.9000,310305600.0
1979317N10072,9.50000,71.6000,311299200.0
1979317N10072,9.80569,71.2466,311310000.0
1979317N10072,10.0976,70.9169,311320800.0
1979317N10072,10.3641,70.6322,311331600.0
1979317N10072,10.6000,70.4000,311342400.0
1979317N10072,10.8053,70.2245,311353200.0
1979317N10072,10.9949,70.0707,311364000.0
1979317N10072,11.1820,69.8848,311374800.0
1979317N10072,11.4000,69.7000,311385600.0
1979317N10072,11.6827,69.5255,311396400.0
1979317N10072,12.0067,69.3536,311407200.0
1979317N10072,12.3540,69.1432,311418000.0
1979317N10072,12.7000,69.0000,311428800.0
1979317N10072,13.0101,69.0074,311439600.0
1979317N10072,13.3075,69.1223,311450400.0
1979317N10072,13.6112,69.3059,311461200.0
1979317N10072,13.9000,69.5000,311472000.0
1979317N10072,14.1516,69.6085,311482800.0
1979317N10072,14.3900,69.6952,311493600.0
1979317N10072,14.6283,69.7894,311504400.0
1979317N10072,14.9000,69.9000,311515200.0
1979317N10072,15.2256,70.0479,311526000.0
1979317N10072,15.6059,70.2215,311536800.0
1979317N10072,16.0216,70.4161,311547600.0
1979317N10072,16.5000,70.6000,311558400.0
1979317N10072,17.0860,70.7657,311569200.0
1979317N10072,17.6799,70.8683,311580000.0
1979317N10072,18.2089,70.8751,311590800.0
1979317N10072,18.6000,70.8000,311601600.0
1979317N10072,18.7730,70.6782,311612400.0
1979317N10072,18.8375,70.5058,311623200.0
1979317N10072,18.9133,70.3038,311634000.0
1979317N10072,19.0000,70.1000,311644800.0
1979317N10072,19.1267,69.9352,311655600.0
1979317N10072,19.2792,69.7760,311666400.0
1979317N10072,19.4387,69.5955,311677200.0
1979317N10072,19.6000,69.4000,311688000.0
1979327N08088,8.40000,87.7000,312163200.0
1979327N08088,8.75113,87.2503,312174000.0
1979327N08088,9.08763,86.8002,312184800.0
1979327N08088,9.40034,86.3500,312195600.0
1979327N08088,9.70000,85.9000,312206400.0
1979327N08088,10.0055,85.4455,312217200.0
1979327N08088,10.2958,85.0041,312228000.0
1979327N08088,10.5615,84.5873,312238800.0
1979327N08088,10.8000,84.2000,312249600.0
1979327N08088,11.0067,83.8359,312260400.0
1979327N08088,11.1974,83.5015,312271200.0
1979327N08088,11.3844,83.1879,312282000.0
1979327N08088,11.6000,82.9000,312292800.0
1979327N08088,11.8775,82.6529,312303600.0
1979327N08088,12.1847,82.4080,312314400.0
1979327N08088,12.4845,82.1373,312325200.0
1979327N08088,12.8000,81.8000,312336000.0
1979327N08088,13.1423,81.3851,312346800.0
1979327N08088,13.4973,80.8591,312357600.0
1979327N08088,13.8506,80.2137,312368400.0
1979327N08088,14.2000,79.5000,312379200.0
1980284N09092,8.80000,92.3000,340005600.0
1980284N09092,8.84254,92.5575,340016400.0
1980284N09092,8.90000,92.8000,340027200.0
1980284N09092,8.98499,93.0150,340038000.0
1980284N09092,9.10000,93.2000,340048800.0
1980284N09092,9.25000,93.3950,340059600.0
1980284N09092,9.40000,93.5000,340070400.0
1980284N09092,9.51498,93.4525,340081200.0
1980284N09092,9.60000,93.3000,340092000.0
1980284N09092,9.66501,93.1150,340102800.0
1980284N09092,9.70000,92.9000,340113600.0
1980284N09092,9.69999,92.7000,340124400.0
1980284N09092,9.70000,92.5000,340135200.0
1980284N09092,9.72750,92.2925,340146000.0
1980284N09092,9.80000,92.1000,340156800.0
1980284N09092,9.91250,91.9275,340167600.0
1980284N09092,10.1000,91.8000,340178400.0
1980284N09092,10.4000,91.7050,340189200.0
1980284N09092,10.7000,91.7000,340200000.0
1980284N09092,10.8800,91.8125,340210800.0
1980284N09092,11.0000,92.0000,340221600.0
1980284N09092,11.1150,92.1775,340232400.0
1980284N09092,11.2000,92.4000,340243200.0
1980284N09092,11.2575,92.6925,340254000.0
1980284N09092,11.3000,93.0000,340264800.0
1980284N09092,11.3800,93.2649,340275600.0
1980284N09092,11.4000,93.5000,340286400.0
1980284N09092,11.2725,93.7301,340297200.0
1980284N09092,11.1000,93.9000,340308000.0
1980284N09092,11.0000,93.9875,340318800.0
1980284N09092,10.9000,94.0000,340329600.0
1980284N09092,10.7500,93.9800,340340400.0
1980284N09092,10.6000,93.9000,340351200.0
1980284N09092,10.4999,93.8101,340362000.0
1980284N09092,10.4000,93.6000,340372800.0
1980284N09092,10.2500,93.2174,340383600.0
1980284N09092,10.1000,92.7000,340394400.0
1980284N09092,9.98496,92.1300,340405200.0
1980284N09092,9.90000,91.5000,340416000.0
1980284N09092,9.81242,90.8574,340426800.0
1980284N09092,9.80000,90.2000,340437600.0
1980284N09092,9.97237,89.5504,340448400.0
1980284N09092,10.1000,88.9000,340459200.0
1980284N09092,9.98228,88.2650,340470000.0
1980284N09092,9.70000,87.6000,340480800.0
1980284N09092,9.28507,86.8421,340491600.0
1980284N09092,8.90000,86.1000,340502400.0
1980284N09092,8.74733,85.4703,340513200.0
1980284N09092,8.70000,84.9000,340524000.0
1980284N09092,8.64245,84.3276,340534800.0
1980284N09092,8.60000,83.8000,340545600.0
1980284N09092,8.54992,83.3275,340556400.0
1980284N09092,8.50000,82.9000,340567200.0
1980284N09092,8.44994,82.4925,340578000.0
1980284N09092,8.40000,82.1000,340588800.0
1980284N09092,8.34996,81.7000,340599600.0
1980284N09092,8.30000,81.3000,340610400.0
1980284N09092,8.25735,80.9300,340621200.0
1980284N09092,8.20000,80.5000,340632000.0
1980284N09092,8.10729,79.9750,340642800.0
1980284N09092,8.00000,79.3000,340653600.0
1980284N09092,7.90028,78.4075,340664400.0
1980284N09092,7.80000,77.5000,340675200.0
1980284N09092,7.67724,76.8050,340686000.0
1980284N09092,7.60000,76.2000,340696800.0
1980284N09092,7.62747,75.5701,340707600.0
1980284N09092,7.70000,75.0000,340718400.0
1980284N09092,7.74237,74.5275,340729200.0
1980284N09092,7.80000,74.1000,340740000.0
1980284N09092,7.88493,73.6575,340750800.0
1980284N09092,8.00000,73.2000,340761600.0
1980284N09092,8.11994,72.7149,340772400.0
1980284N09092,8.30000,72.2000,340783200.0
1980284N09092,8.56996,71.6575,340794000.0
1980284N09092,8.90000,71.1000,340804800.0
1980284N09092,9.22748,70.5349,340815600.0
1980284N09092,9.60000,70.0000,340826400.0
1980284N09092,10.0326,69.5303,340837200.0
1980284N09092,10.5000,69.1000,340848000.0
1980290N10088,10.0333,88.0000,340502400.0
1980290N10088,10.3431,87.1945,340513200.0
1980290N10088,10.6723,86.4134,340524000.0
1980290N10088,11.0454,85.6789,340534800.0
1980290N10088,11.5000,85.0000,340545600.0
1980290N10088,12.0528,84.3673,340556400.0
1980290N10088,12.6807,83.7978,340567200.0
1980290N10088,13.3615,83.2661,340578000.0
1980290N10088,14.0000,82.8333,340588800.0
1980290N10088,14.5156,82.5193,340599600.0
1980290N10088,14.9256,82.3047,340610400.0
1980290N10088,15.2510,82.1291,340621200.0
1980290N10088,15.5000,82.0000,340632000.0
1980290N10088,15.7250,81.8838,340642800.0
1980290N10088,15.9041,81.8015,340653600.0
1980290N10088,16.0561,81.7501,340664400.0
1980290N10088,16.1667,81.7000,340675200.0
1980290N10088,16.2372,81.6056,340686000.0
1980290N10088,16.2692,81.5116,340696800.0
1980290N10088,16.2766,81.4485,340707600.0
